GAME_ID,OFFICIAL_ID,OFFICIAL_NAME,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON_TYPE,POSTSEASON_STAGE,POSTSEASON_SEASON_TYPE,SPECIAL_SITE
0022100056,1201,Leon Wood,Leon,Wood,40,Regular Season,Regular Season,Regular Season,0
0022100057,2530,Ed Malloy,Ed,Malloy,14,Regular Season,Regular Season,Regular Season,0
0022100057,1627962,Jacyn Goble,Jacyn,Goble,68,Regular Season,Regular Season,Regular Season,0
0022100057,1628171,Brandon Schwab,Brandon,Schwab,86,Regular Season,Regular Season,Regular Season,0
0022100058,1830,Marc Davis,Marc,Davis,8,Regular Season,Regular Season,Regular Season,0
0022100058,2005,Matt Boland,Matt,Boland,18,Regular Season,Regular Season,Regular Season,0
0022100058,202026,Karl Lane,Karl,Lane,77,Regular Season,Regular Season,Regular Season,0
0022100059,2003,Pat Fraher,Pat,Fraher,26,Regular Season,Regular Season,Regular Season,0
0022100059,101283,Brian Forte,Brian,Forte,45,Regular Season,Regular Season,Regular Season,0
0022100059,1628172,Evan Scott,Evan,Scott,78,Regular Season,Regular Season,Regular Season,0
0022100060,2534,Zach Zarba,Zach,Zarba,15,Regular Season,Regular Season,Regular Season,0
0022100060,202901,Matt Myers,Matt,Myers,43,Regular Season,Regular Season,Regular Season,0
0022100060,203592,Dedric Taylor,Dedric,Taylor,21,Regular Season,Regular Season,Regular Season,0
0022100061,1162,Scott Foster,Scott,Foster,48,Regular Season,Regular Season,Regular Season,0
0022100061,203177,Lauren Holtkamp,Lauren,Holtkamp,7,Regular Season,Regular Season,Regular Season,0
0022100061,204058,Gediminas Petraitis,Gediminas,Petraitis,50,Regular Season,Regular Season,Regular Season,0
0022100062,2715,Eric Lewis,Eric,Lewis,42,Regular Season,Regular Season,Regular Season,0
0022100062,1627529,Suyash Mehta,Suyash,Mehta,82,Regular Season,Regular Season,Regular Season,0
0022100062,1627541,Natalie Sago,Natalie,Sago,9,Regular Season,Regular Season,Regular Season,0
0022100063,1179,Rodney Mott,Rodney,Mott,71,Regular Season,Regular Season,Regular Season,0
